scoring_fn,mask_cond,session,perturbed_condition,n_frames,real_mean,real_std,pert_mean,pert_std,auroc,exceeds_threshold_0.85
eps_mae,full_frame,D2,fake_100k,50,0.024205918945372103,0.0006489774999404275,0.03357387311756611,0.0004954246219539677,1.0,True
eps_mae,full_frame,D2,shuffled_E,50,0.024205918945372103,0.0006489774999404275,0.03712625674903393,0.000681600521214768,1.0,True
eps_mae,full_frame,D2,cross_session_E,50,0.024205918945372103,0.0006489774999404275,0.03712916985154152,0.000700396505592146,1.0,True
eps_mae,full_frame,V10,fake_5k,56,0.025642010050692728,0.000687497992836966,0.042858392731951814,0.0021492434573009865,1.0,True
eps_mae,full_frame,V10,fake_25k,56,0.025642010050692728,0.000687497992836966,0.03926971647888422,0.0029379740716224357,1.0,True
eps_mae,full_frame,V10,fake_70k,56,0.025642010050692728,0.000687497992836966,0.03876162346984659,0.003326914159797049,1.0,True
eps_mae,full_frame,V10,fake_100k,56,0.025642010050692728,0.000687497992836966,0.037802449227975946,0.0035869118866115927,1.0,True
eps_mae,full_frame,V10,shuffled_E,56,0.025642010050692728,0.000687497992836966,0.038757564699543376,0.0007024423482959154,1.0,True
eps_mae,full_frame,V10,cross_session_E,56,0.025642010050692728,0.000687497992836966,0.038768617303243706,0.0008214584616139511,1.0,True
signed_residual,E2_seg,D2,fake_5k,50,0.0007050114447520173,0.0009844640505480833,0.002551210139936302,0.004064472935926899,0.7008,False
signed_residual,E2_seg,D2,fake_25k,50,0.0007050114447520173,0.0009844640505480833,0.003060154645354487,0.0034946668214945746,0.7548,False
signed_residual,E2_seg,D2,fake_70k,50,0.0007050114447520173,0.0009844640505480833,0.002375164732184203,0.0033131179839710435,0.6796,False
signed_residual,E2_seg,D2,fake_100k,50,0.0007050114447520173,0.0009844640505480833,0.002345360599938431,0.0031077638661164654,0.6716,False
signed_residual,E2_seg,D2,shuffled_E,50,0.0007050114447520173,0.0009844640505480833,0.005576820953428978,0.0032927665558027262,0.9132,True
signed_residual,E2_seg,D2,cross_session_E,50,0.0007050114447520173,0.0009844640505480833,0.0058127126091858375,0.003171711373215702,0.9384,True
signed_residual,E2_seg,V10,fake_5k,56,0.0005273381871688798,0.0007071388386739784,0.0016392636534874327,0.004832157764373479,0.7190688775510204,False
signed_residual,E2_seg,V10,fake_25k,56,0.0005273381871688798,0.0007071388386739784,0.0023942933515042697,0.0044510125121936,0.7165178571428571,False
signed_residual,E2_seg,V10,fake_70k,56,0.0005273381871688798,0.0007071388386739784,0.0006659897180725238,0.0042227273405510005,0.609375,False
signed_residual,E2_seg,V10,fake_100k,56,0.0005273381871688798,0.0007071388386739784,0.0009236664890782517,0.004041686559466911,0.6112882653061225,False
signed_residual,E2_seg,V10,shuffled_E,56,0.0005273381871688798,0.0007071388386739784,0.005902104099472386,0.002539089304328248,0.9738520408163265,True
signed_residual,E2_seg,V10,cross_session_E,56,0.0005273381871688798,0.0007071388386739784,0.006565886566282383,0.002692266060901473,0.9964923469387755,True
signed_residual,E3_seg,D2,fake_5k,50,-0.0001961864597251406,0.0001593987682831618,0.00032053765804448633,0.00021738016866353993,0.9748,True
signed_residual,E3_seg,D2,fake_25k,50,-0.0001961864597251406,0.0001593987682831618,0.00021028052568340173,0.00017558478197540755,0.9484,True
signed_residual,E3_seg,D2,fake_70k,50,-0.0001961864597251406,0.0001593987682831618,0.0002108581370475804,0.00016464120269089603,0.9592,True
