frame_idx_global,session,row,phaseg_correct_red,phaseg_shuf_red,phaseg_fake5k_red,phaseg_fake25k_red,phaseg_fake70k_red,phaseg_fake100k_red,delta_red_shuf,delta_red_fake100k,binder_e2fp16_red,ae64f_correct_red,z_correct_mean,z_correct_p95,z_shuf_mean,z_shuf_p95,z_fake100k_mean,z_fake100k_p95,excess_shuf_mean,excess_shuf_p95,excess_shuf_red,excess_fake100k_mean,excess_fake100k_p95,excess_fake100k_red,has_real,has_shuf,has_fake5k,has_fake25k,has_fake70k,has_fake100k,has_binder,has_ae
33,D2,33,0.00401,0.06777,0.10767,0.07595,0.06907,0.06726,0.06376,0.06325,0.00053,0.01355,1.0177,3.1314,3.9212,14.0972,3.6666,14.1231,1.5068,4.0000,0.43245,1.3815,4.0000,0.39447,1,1,1,1,1,1,1,1
34,D2,34,0.00588,0.09019,0.09420,0.07198,0.06628,0.06382,0.08431,0.05794,0.00039,0.01829,1.0448,3.0802,4.3632,16.7074,3.5825,13.7596,1.5248,4.0000,0.43317,1.3487,4.0000,0.38621,1,1,1,1,1,1,1,1
35,D2,35,0.00399,0.06761,0.07959,0.05589,0.04600,0.04024,0.06362,0.03625,0.00004,0.01355,0.9813,2.8547,3.9161,14.1409,3.0597,11.1530,1.5239,4.0000,0.43970,1.2284,4.0000,0.35862,1,1,1,1,1,1,1,1
36,D2,36,0.00494,0.07751,0.09351,0.07237,0.06085,0.05532,0.07257,0.05037,0.00014,0.02240,1.0494,3.1546,4.1351,14.8688,3.4300,12.9259,1.5680,4.0000,0.45091,1.3036,4.0000,0.37624,1,1,1,1,1,1,1,1
37,D2,37,0.00362,0.06932,0.09003,0.06724,0.06083,0.05924,0.06569,0.05562,0.00024,0.01544,0.9955,2.9249,4.0398,14.2640,3.4972,13.1808,1.5737,4.0000,0.45376,1.3548,4.0000,0.38928,1,1,1,1,1,1,1,1
38,D2,38,0.00464,0.08114,0.09788,0.07017,0.06659,0.06573,0.07650,0.06110,0.00041,0.01188,1.0310,3.0238,4.2203,15.5649,3.6156,13.9860,1.5700,4.0000,0.44619,1.3589,4.0000,0.38790,1,1,1,1,1,1,1,1
39,D2,39,0.00598,0.08407,0.08978,0.06525,0.06490,0.05849,0.07808,0.05251,0.00028,0.02411,1.0666,3.1616,4.1415,15.6123,3.5184,13.1411,1.4864,4.0000,0.42059,1.3396,4.0000,0.38385,1,1,1,1,1,1,1,1
40,D2,40,0.00553,0.07967,0.08948,0.06919,0.05931,0.05286,0.07414,0.04732,0.00069,0.02203,1.0415,3.0550,4.1288,15.4581,3.2481,12.6421,1.5203,4.0000,0.43331,1.2342,4.0000,0.35724,1,1,1,1,1,1,1,1
41,D2,41,0.00568,0.07239,0.09664,0.06683,0.06596,0.05754,0.06671,0.05186,0.00024,0.02010,1.0351,3.0051,3.9385,14.6487,3.5041,13.0224,1.4645,4.0000,0.41762,1.3411,4.0000,0.38212,1,1,1,1,1,1,1,1
42,D2,42,0.00525,0.07430,0.09113,0.06818,0.06553,0.06187,0.06905,0.05662,0.00035,0.01821,1.0071,2.8869,3.9388,14.9100,3.5588,13.5352,1.4551,4.0000,0.41518,1.3370,4.0000,0.38184,1,1,1,1,1,1,1,1
