session,row,mode,sigma_target,achieved_delta_rms,achieved_delta_max,achieved_delta_p95,fraction_changed,fraction_clipped,score_baseline,score_perturbed,delta_score
D2,1464,B_phase_g_input,0.1,0.0977972224354744,0.475326269865036,0.19205303490161896,0.9113477071126302,0.03201166788736979,0.003500919439829886,0.0037200415157712997,0.00021912207594141373
D2,1464,B_phase_g_input,0.3,0.25827062129974365,1.0,0.4957680404186249,0.9641706678602431,0.17903349134657118,0.003500919439829886,0.004822342353872955,0.0013214229140430687
D2,1464,B_phase_g_input,0.5,0.351595401763916,1.0,0.6504907608032227,0.9749098883734809,0.3594406975640191,0.003500919439829886,0.005848797969520092,0.002347878529690206
D2,1464,C_binder_resolution,0.1,0.0538935586810112,0.2865798771381378,0.10596513748168945,0.8458913167317709,0.017446729871961806,0.003500919439829886,0.00357345751253888,7.253807270899424e-05
D2,1464,C_binder_resolution,0.3,0.1557455062866211,0.8535395860671997,0.3048592209815979,0.9422437879774306,0.06532075670030382,0.003500919439829886,0.004006136028328911,0.0005052165884990249
D2,1464,C_binder_resolution,0.5,0.2402753084897995,1.0,0.4637150466442108,0.9615580240885416,0.15359115600585938,0.003500919439829886,0.004666725546121598,0.0011658061062917117
D2,1481,A_rendered,0.1,0.048430509865283966,0.2713003158569336,0.09535077214241028,0.8294385274251302,0.01618745591905382,0.003368620073888451,0.003422718675574288,5.4098601685836824e-05
D2,1481,A_rendered,0.3,0.14079520106315613,0.7423248291015625,0.27624544501304626,0.936600579155816,0.05557081434461805,0.003368620073888451,0.003745783254271373,0.00037716318038292194
D2,1481,A_rendered,0.5,0.22024132311344147,1.0,0.42711466550827026,0.9582896762424045,0.12933434380425346,0.003368620073888451,0.00427223359583877,0.0009036135219503191
D2,1481,B_phase_g_input,0.1,0.097781702876091,0.5248338580131531,0.19197185337543488,0.9116151597764757,0.032588958740234375,0.003368620073888451,0.0035742108768317847,0.00020559080294333364
D2,1481,B_phase_g_input,0.3,0.25807055830955505,1.0,0.49542486667633057,0.9644580417209201,0.17994223700629342,0.003368620073888451,0.00464977523079142,0.0012811551569029689
